"","Package","Version","License","Built"
"411","nlme","3.1-164","GPL (>= 2)","4.4.1"
"412","nnet","7.3-19","GPL-2 | GPL-3","4.4.1"
"413","parallel","4.4.1","Part of R 4.4.1","4.4.1"
"414","rpart","4.1.23","GPL-2 | GPL-3","4.4.1"
"415","spatial","7.3-17","GPL-2 | GPL-3","4.4.1"
"416","splines","4.4.1","Part of R 4.4.1","4.4.1"
"417","stats","4.4.1","Part of R 4.4.1","4.4.1"
"418","stats4","4.4.1","Part of R 4.4.1","4.4.1"
"419","survival","3.6-4","LGPL (>= 2)","4.4.1"
"420","tcltk","4.4.1","Part of R 4.4.1","4.4.1"
"421","tools","4.4.1","Part of R 4.4.1","4.4.1"
"422","utils","4.4.1","Part of R 4.4.1","4.4.1"
